product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
watches1,watches_gifts,01-07-2024,15,2079.5689420919484,15.882252045442785,137.77084295025242,35,514,2,4302,3.8113730622107305,94,21,9,0,7,2024,9.74932268953504,3015,119.1749765330351,4.195432375575816,19.68484569093546,104.1669643654621,4.203814751283637,23.88963179006152,136.92972479802987,3.793010792351817,16.17359290309337,131.69663046005974
garden3,garden_tools,01-08-2025,5,456.62740667461617,44.76655971297487,98.98704341475093,47,1911,1,6025,4.096720396485215,55,22,9,1,8,2025,5.161916941890518,7939,49.95713923002025,4.0967338189700735,28.437712896304696,48.14414004446992,4.199902701415753,33.54152199979457,50.63367407169682,4.105415671429686,21.132475245390204,95.63231683331236
bed2,bed_bath_table,01-03-2025,23,1843.5777231940542,23.359713028833934,82.82199262999868,54,248,1,1350,3.896452763884074,43,21,9,0,3,2025,16.24189755512336,19815,80.2081967210346,3.8984423972884095,23.030690976632968,81.29022288958042,3.8952704912469187,23.087810508173177,40.45849222633601,4.005513278591295,13.916428725248212,81.33904294838581
garden7,garden_tools,01-11-2024,7,369.64782799722104,14.085954603029316,50.796057103564685,57,331,2,1804,4.205874086150308,160,20,8,2,11,2024,13.644452001826563,32736,50.805299426121174,4.102879197617952,16.411005984125907,50.075136074984364,4.19496118275569,17.769590408334274,49.498414195450714,4.107376023774452,18.231061067703482,51.29261238936743
health7,health_beauty,01-08-2024,6,493.60256691299145,16.636010022350916,59.65680763227796,59,489,2,235,3.9062037462525327,132,21,9,0,8,2024,11.3773854690339,4064,23.16183270807453,4.302309334026845,16.12161609488521,81.0588922459297,4.09769032856917,13.61521965455025,60.88471850435308,3.892813425829332,16.485683514548946,59.76928107025406
watches8,watches_gifts,01-09-2025,11,1746.2102284326838,14.397581154488602,156.86837802894553,35,650,1,333,4.098635040201327,62,23,8,1,9,2025,10.066767429655515,2771,112.06027135572525,4.201590280912476,13.394850295846169,105.07808587955158,4.2010735541506605,23.173113016567918,145.79210034431318,3.798812197006845,21.661536261455044,158.0444102508414
health3,health_beauty,01-07-2024,33,4029.5814030123493,32.898339602576065,124.04665061975733,50,1245,1,707,4.095278116608124,111,22,9,1,7,2024,21.16605425351992,6011,22.70340786070679,4.301760446298181,18.856680433893665,80.93921236501784,4.098296416609454,16.882116993418386,59.759865395810316,3.898848022640777,7.67,119.24006032095359
watches8,watches_gifts,01-07-2025,11,1603.9457344428674,14.594844265572673,158.81156212625993,35,626,1,326,4.101147161878123,62,23,8,1,7,2025,9.695135869552319,2659,111.29953810703346,4.208305451085403,13.380260859541249,106.15491529463355,4.203332848414789,23.363746977595916,145.014021946061,3.803889112399334,21.960533484968156,155.24351299304274
watches5,watches_gifts,01-11-2025,17,3365.6365514380705,0.0,198.7552652106619,42,246,1,353,4.091451052687165,261,23,8,3,11,2025,21.88715064204805,3438,102.24407174410015,4.199978504697064,0.3192541838066365,105.77605799440195,4.201657143319827,11.432656646643817,133.31816629229877,3.8059254716929285,15.731291164932712,203.61616516129607
computers3,computers_accessories,01-11-2024,16,2173.813310335248,36.131279734568146,139.72696173771106,42,374,1,865,4.194104019442325,28,22,9,2,11,2024,16.85723301060707,7494,153.77726964878488,4.202322107171698,43.88429128937916,138.0967419785185,4.209679522693317,36.08761431639621,138.56778221239497,4.202667382616085,36.00235995263394,139.59578850183294
